review_id,restaurant_id,restaurant,text,date
45775551,73093209,Restaurant Zo,"Being from out of town, it’s always worrisome to find a place that will welcome you warmly (despite the language barrier), but our server went above and beyond for us and we couldn’t be more appreciative of this. We’d highly recommend— their lemon pasta with sea bass was the highlight of the night.
Read more",Dined 7 days ago
43409730,73093209,Restaurant Zo,"the restaurant Zo was close, and it was far away, but nobody told us. 
So mad.","Dined on August 16, 2024"
39410757,73093209,Restaurant Zo,Amazing dinner with friends. Food was delicious and service impeccable,"Dined on August 2, 2024"
32270298,73093209,Restaurant Zo,"Dined on Thursday evening with group of 9 colleagues. Staff was excellent, atmosphere was jovial, and food and drink were outstanding. Top remarks from all members of our group!","Dined on April 18, 2024"
44992094,73093209,Restaurant Zo,Great food and staff was very friendly.  Fun place,"Dined on April 5, 2024"
10610735,36945410,"Penati al Baretto
NEW","Merveilleux restaurant gastronomique italien niché au sein du 7ème arrondissement à deux pas des Invalides, il nous a séduit à la fois pour la finesse de sa cuisine et pour la qualité du service, impeccable et stylé. Décor chaleureux, de l'espace entre les tables et confortable. Très belle carte des vins italiens, sommelier de très bon conseil, Merci à toute l'équipe pour cette escapade en Italie.
Read more","Dined on November 22, 2024"
98872864,55871855,SEB Cafe,"Super restaurant ! Je recommande, pour l'atmosphère, le service et les plats !","Dined on November 23, 2024"
14001148,55871855,SEB Cafe,Plats sans rien de particulier à des prix excessifs et dans une salle très bruyante. Je n’y reviendrai pas,"Dined on October 17, 2024"
32617911,55871855,SEB Cafe,"Accueil très agréable avec un service rapide.
Des salles un peu sombre un peu plus d'éclairage serait mieux.
Des plates tels que les linguines aux truffes servis avec un peu trop d'huile dans l'assiette
moins serait parfait. 
des très bons plats italiens.
Read more","Dined on October 15, 2024"
43107638,78330527,Senza nome,"Les pizzas étaient vraiment très bonne, je recommande cette adresse !!","Dined on October 21, 2024"
62482091,78330527,Senza nome,"Des pizzas cuites au feu de bois devant soit  ! 🔥
Trop bonnes ! Le cadre est très sympathique !
La déco d’Halloween déchire !","Dined on October 20, 2024"
47387585,78330527,Senza nome,"Je mange ici très régulièrement ! Pour moi les meilleurs pizzas de Paris, surtout cuite au feu de bois ! Personnel attentionné !
Mercii","Dined on October 18, 2024"
51842376,78330527,Senza nome,Really good and authentic Napoli style pizza made with quality ingredients with fantastic service from very friendly staff. Will definitely return.,"Dined on October 5, 2024"
36684699,16248598,Bistro L'Olivier,"What an amazing find, we had a delicious meal with  attentive friendly staff. The place looks and smells beautiful. I would really recommend visiting here for a meal.","Dined on December 4, 2024"
45272038,16248598,Bistro L'Olivier,Lovely restaurant. Food was great and the staff were very friendly.,"Dined on November 3, 2024"
16550452,16248598,Bistro L'Olivier,"Truly amazing food and menu options at a great cost. Friendly service. Was able to book a reservation a couple hours in advance via this app; they called me shortly after asking if we could push it back a half hour which wasn’t an issue for us. Thanked us tremendously over the phone and even upon arrival. Definitely got busier closer to 9 PM, this was on a Saturday evening. We had the beef tartar, scallops, and steak and mashed potatoes - all delicious choices. The ambiance was great, loved the decor and the dim lighting. 10/10 and highly recommend!
Read more","Dined on October 26, 2024"
83545573,16248598,Bistro L'Olivier,"Very friendly staff, we don't speak French and they made us feel very welcome especially given we booked for the last sitting at 23:15, the ambience was very warm and cosy.
A lovely choice of food, fish and meats as well as vegetarian.
Small wine choice but very good, we had the Chablis.
Highly Recommend! Please visit!
Read more","Dined on October 18, 2024"
53941519,16248598,Bistro L'Olivier,"Une très belle découverte, une cuisine savoureuse et généreuse et un service de qualité.","Dined on October 1, 2024"
76318783,16248598,Bistro L'Olivier,"Retour au Bistrot l'Olivier. Carte variée. A noter les plats à partager à l'apéro qui sont une bonne alternative aux entrées. Plats gouteux. Service efficace. Ambiance cosy. Nous reviendrons.
Read more","Dined on September 15, 2024"
