review_id,restaurant_id,restaurant,text,date,language
L7xKNDP5FD4gZWx3WeWn-g,4OsDhJHURGqfw1_22Gslgg,La Terrazza,My wife and I had dinner here last night. Wow! Arguably the best meal of our lives. Easy to rate this meal.Ambience - 55  The setting was one of the...,2023-05-27 23:26:51,en
RU9YgRF4Y1dLEqBrBb3Tzg,4OsDhJHURGqfw1_22Gslgg,La Terrazza,One of the best fine dining restaurants we have ever been to - and one of the best meals of our lives! Everything was beyond outstanding. Views...,2023-08-24 13:48:40,en
eGALOV7J-EKBm1Zb8Og-NQ,4OsDhJHURGqfw1_22Gslgg,La Terrazza,What an amazing view fantastic food and atmosphere it was at La Terrazza! Our waiter Chiro was excellent! and we want to thank him so much to make our...,2019-10-10 12:09:42,en
y8O3Lr-IlwfSfGJ2R3RqMw,O-PwNezcRXYyx2xiu9qVHQ,Bottega Rocchi,Great place great pizza  food awesome staff. Quick service--highly recommend! This place gets busy between 1200-1400 for the local businessmen lunch...,2019-05-09 02:56:11,en
jVoTw2tImPJmGajp_XJ7Fw,O-PwNezcRXYyx2xiu9qVHQ,Bottega Rocchi,Simply put delicious and inexpensive. Fast friendly service from Giorgio. Always get away from the main streets to find the good restaurants like this one!,2019-09-22 03:02:50,en
yh6Xat4_H4e2wmENCktDfA,O-PwNezcRXYyx2xiu9qVHQ,Bottega Rocchi,Wonderful place with unbelievable food.  THIS is what you are hoping for when you go out to eat in Rome.  The carbonara is incredible and the Tonnarelli...,2019-04-03 08:19:56,en
0owVIHbr3TJke7B2UaP06Q,N1s7kKRwvSIkyuS-xbdwUA,Il Giardino Ristorante,Food and service was amazing. The spaghetti alla cabonara was out of this world.Don't miss this restaurant.,2024-10-11 16:43:29,en
4LuWhhJSNBakUVffwHQi2g,N1s7kKRwvSIkyuS-xbdwUA,Il Giardino Ristorante,You can view the backside if the Church atoo the Spanish steps.The restaurant is licated on the 6th floor if the Eden Hotwl.Ww had the dishes in the...,2024-10-04 06:34:00,en
CTPeiNXLgRmwOFTcHI8rMA,N1s7kKRwvSIkyuS-xbdwUA,Il Giardino Ristorante,What a great place! The service  the food  the decor! We were so happy! And the pasta!!! So beautiful. We ate so much but didn't feel miserable. It's that...,2024-11-02 17:03:52,en
c1Me9AXZL6QzjnJe1XAA_w,-i5sf6JOXkYY6BhtO2EMMw,Cantina dei Papi,Tiny little hole in the wall gem. We almost passed it maybe because I'm always looking everywhere- I was so happy we didn't miss it. What a lovely place....,2024-09-17 02:40:32,en
5LoCEQsPgRAk6wL6xufD6A,-i5sf6JOXkYY6BhtO2EMMw,Cantina dei Papi,We just had a few hours in Rome and after a wonderful golf cart tour I knew the one thing I wanted to do was try a porchetta sandwich before we left.  We...,2024-08-31 20:28:26,en
E_v3JB0smBQV7aGdwX3vmw,-i5sf6JOXkYY6BhtO2EMMw,Cantina dei Papi,Excellent.  Not exactly like all the super authentic spots we experienced the ones that maybe were not tourist spots.  But absolutely amazing! The...,2024-08-18 13:56:11,en
-37f2qRxOdMIlLE032RuQw,dDaMYkgOett1PVEq-qk6Zg,I Monticiani,Sooo good I got beef tenderloin  chips. Everything was very salty but that's the way I like it!,2024-12-15 04:40:17,en
C1_1AoqZg73QfOm1WDbjIQ,dDaMYkgOett1PVEq-qk6Zg,I Monticiani,What a great spot a short walk from the Colosseo! Its neighborhood and local so you have the luxury of a Roman's Roma. The Cacio E Pepe was memorable which...,2024-05-06 11:32:00,en
tKFZAr7sWoJmcMBzZEm1MQ,dDaMYkgOett1PVEq-qk6Zg,I Monticiani,We stumbled across this place a few doors down from our VRBO while in Rome walking toward the Colesseum.  Amazingly delicious pastries and cappuccino and...,2023-11-25 08:50:15,en
FWmXv4k0dXAox5EUbEYbuw,ehrW9keNRzswszJh7_nszw,La Tavernaccia,Just had the most remarkable dining experience! The waiters were exceptional and super friendly making me wish I could give the service a 6-star rating....,2024-08-17 20:02:22,en
cw76hPLRgtawOZ-47S7HkQ,ehrW9keNRzswszJh7_nszw,La Tavernaccia,Possibly our absolute favorite in Rome. The meatscheeses sampler was new to us this trip and really amazing. The bruschetta and eggplant parm were also new...,2023-08-22 07:33:10,en
eD2RfZUqEkbhZYcw4kcL8A,ehrW9keNRzswszJh7_nszw,La Tavernaccia,We had dinner here for a party of nine last night meal in Rome.  I can't say enough good things about this restaurant.  If you are in Rome please try it...,2023-07-03 04:54:36,en
zBFL4sfeJG54joX_Ep8tPw,7wVeQWsPlNG5RSTB6PipPw,Mama Pasta,It's closed. Phone number goes through to another restaurant. Very confusing.  They took our reservation but when we showed up the location was closed and...,2022-06-13 12:49:14,en
vje8jzPveBZYaVnDP8G-UA,7wVeQWsPlNG5RSTB6PipPw,Mama Pasta,Come here!! The pasta is delicious and the owner is amazing... the musicplaylist was pretty awesome too!! We had the followingGnocchi raguTortellini...,2019-11-26 12:06:24,en
lkPAXhrsrZgdbE5E5VUQUw,7wVeQWsPlNG5RSTB6PipPw,Mama Pasta,The Fettuccine Bolognese is amazing! The staff here are very nice speak English and serve delicious pasta. The noodles were perfectly cooked al dente the...,2019-09-26 08:18:07,en
NqsIjsRf7w14NKZNlD2pSw,rLaPNO6TLGJLONJjUPhjSg,Al Forno della Soffitta,Food is perfect! We love it so much. This is definitely the best restaurant we have ever went in Rome. Their service! Perfect! Good communicate with...,2024-07-04 11:23:23,en
BnPtth2SXYBBApLXF3T4vw,rLaPNO6TLGJLONJjUPhjSg,Al Forno della Soffitta,You walk in right in front of a beautiful oven. Then you get seated. We had pizza pasta with red sauce and grilled chicken. Of course that followed by a...,2024-06-08 14:05:42,en
uAKmv_Z6dIJDHOkE7CX4Tw,rLaPNO6TLGJLONJjUPhjSg,Al Forno della Soffitta,Yelp you have never failed me and this was no exception. This is a restaurant you must come visit if in Rome. We came in late on a Friday night and were...,2024-02-09 17:23:16,en
_NmKQ0u0S9ro5UmuKNE12Q,CUtvD9xZr-1AtJPUVWKvHQ,La Vecchia Locanda,We lucked out and found this gem on our first night in Roma. The name of the restaurant means Old Inn. It's a family run spot with the sweetest people...,2024-11-26 08:51:38,en
zrwgxmIc-Cl07Ur44M_1Gg,CUtvD9xZr-1AtJPUVWKvHQ,La Vecchia Locanda,Grabbed dinner with a group here on our final night in Italy. It is in a cute little alley way so it is not near a busy street. We had a group of 7 and I'm...,2023-07-28 12:26:40,en
BBkhmL5ZOeDwSj3m7PcgkQ,CUtvD9xZr-1AtJPUVWKvHQ,La Vecchia Locanda,This may have been the best steak I have every eaten in my life. I can't explain how tender it was. I wish I could remember what it was called but I don't...,2024-04-14 08:50:00,en
b_nf8cLYrsQ8NdFD_T0vlw,pkgC2-eY81GKNAEuaxGPPw,La Boccaccia,If you're looking for a quick and easy focaccia to enjoy La Boccacia has got your back! This was our first stop after flying into Rome and taking a little...,2024-10-07 09:14:59,en
BTDAs5YuKL7g4XsQirNBhw,pkgC2-eY81GKNAEuaxGPPw,La Boccaccia,Small and quaint small seating area- name on the door that remains open during biz hours so keep a close eye out or you'll walk by. Grabbed a few diff...,2024-08-11 06:39:53,en
8jry1b5RqswSWVqyJEocHQ,pkgC2-eY81GKNAEuaxGPPw,La Boccaccia,We had our first meal here in Rome. The pizza was quite delicious. The pizza crust was very light and had an airy texture. A pizza slice is 3.50 Euro and it...,2024-09-25 07:49:23,en
ijxoWAlLBXb9hEc8g01mjA,-8Q7NhCtyf60fSkQqJxCHA,La Prezzemolina,This is close by the Coliseum but it has pretty good pizza! You can choose from a variety of different flavors and it is delicious! Just a little salty.,2024-10-20 13:14:59,en
HNJ9TPrBBk-v5VjxYIbEdQ,-8Q7NhCtyf60fSkQqJxCHA,La Prezzemolina,Phenomenal pizza so flavorful. The lady at the counter was very helpful in explaining each item and was patient with me. This made the experience all the...,2024-06-29 07:11:17,en
a3pGUISgVsJ2GSqGeHqFDw,-8Q7NhCtyf60fSkQqJxCHA,La Prezzemolina,AMAZING!!!! no notes as they say. not only is this pizza amazing but it's also rlly inexpensive! The crust was so much flakier than pizza i'm used to. i...,2024-05-16 19:11:35,en
iNGKT16Equeran7zfmGReQ,XIFsSRePunnS_vb5IPFMTA,Supplì,Looking for a quick bite to eat for lunch my mom and I made our way to Supplì. Coming shortly after they opened was a great idea because we definitely beat...,2024-07-18 11:28:07,en
xWhYAbQxbBRAi0q-RGT5sw,XIFsSRePunnS_vb5IPFMTA,Supplì,If you go in and choose blindly I'm sure you'll come out with something you will really like.  I mean that's essentially what I did.  I just pointed to...,2024-07-02 06:20:12,en
ooXxremnqB1EezT-3-ljbA,XIFsSRePunnS_vb5IPFMTA,Supplì,The most amazing food! This was my favorite spot in Rome. It's a small order at the counter place. For the pizza you pay by weight instead of slice. Our...,2024-04-16 06:43:48,en
gfSV9hFzaRROq4QBYrwSkg,lenzYIvN2Dk06boef6dfgg,44 Osteria Quarantaquattro,A really enjoyable meal here where you'll find traditional Roman dishes with French inspired alternatives. Tuna tartare with pistachio nuts was really a...,2024-11-14 13:20:30,en
5CL2aCd1SY2e6Pr-X_psSg,lenzYIvN2Dk06boef6dfgg,44 Osteria Quarantaquattro,Service was highly attentive and profoundly engaged. Mood was pleasant with dim lighting and music was pleasant. Could hear and be heard. The bread...,2024-08-10 10:38:06,en
Gx2dPj_tnnykFt232oXmTA,lenzYIvN2Dk06boef6dfgg,44 Osteria Quarantaquattro,I had been in Italy for 2 days and was severely disappointed in the food situation.  Place after place was just... meh.  My hope was dwindling that I would...,2024-04-13 09:48:17,en
PlJrb3WS1FAnkaL13S0WGg,H_8u0Z_Sezap0QqcnZe_9g,I Buoni Amici,Delizioso!! So good we came back everyday after having it the first time. We did dinner 3 nights and lunch once. I feel like they bless you for lunch. You...,2024-05-27 12:23:32,en
S89yX-m_9J5grF14CtDYig,H_8u0Z_Sezap0QqcnZe_9g,I Buoni Amici,Highly recommend this restaurant good quality food. This place is filled with locals for a reason.,2024-11-17 20:55:21,en
qAQtoJb3foSfjz_vAtpCDQ,H_8u0Z_Sezap0QqcnZe_9g,I Buoni Amici,This place was only okay. I read the phenomenal reviews about this place and was expecting something fantastic.I are only a few forkfuls of pasta and then...,2022-07-06 18:07:03,en
lbCW76UdnjersozPhgvb-g,j-giVdvEJFJgdjKQVWDhSw,Cantina e Cucina,Cantina E. Cucina was absolutely refreshing and delicious.  We are traveling here in Italy and it's just amazing to find these spots. We had to wait in...,2024-07-20 14:45:50,en
oUXT5_1WdCbhXFeiz0QGjA,j-giVdvEJFJgdjKQVWDhSw,Cantina e Cucina,This hovers between 3  4. The service was great the place is charming but the food was good not special. The service was attentive but not...,2024-09-06 05:33:10,en
nnTwMQ9lz0RgUr9cdq9sTw,j-giVdvEJFJgdjKQVWDhSw,Cantina e Cucina,I was drawn to Cantina e Cucina due to all the great reviews I saw  photos made the food look super delicious. It's located near Piazza Navona  lots of...,2024-08-16 16:04:56,en
s5ObH4V72YL77Gx2A5lPxA,alzlKGqlBbfz3-U1dJfIJg,Sapori e Delizie,Great food  great choices gets busy which is justified... worth a visit for pizza and pasta,2024-10-23 11:45:12,en
icQuum-mcOpWyLOer6s2mg,alzlKGqlBbfz3-U1dJfIJg,Sapori e Delizie,Food was really good but in my opinion the SERVICE WAS EXCELLENT!!!!!The cook stopped by to make sure my pasta was cooked properly. The manager was super...,2024-09-21 05:55:18,en
Nj9BR3OMfWJBgrL1Cr-grQ,alzlKGqlBbfz3-U1dJfIJg,Sapori e Delizie,Intro After a good deal of sightseeing in Rome I was ready for lunch. Sapori e Delizie was on my list and they were close to where I was so I made my way...,2024-08-01 06:57:53,en
ey5UgqczRVC_5QY3QNzxSA,tV6ihDwj5Q7bjbkTl41-UQ,Alle Fratte di Trastevere,Food was excellent. I ordered the oxtail rigatoni and it's the best thing I had while I was in Italy. I can tell everything is made with fresh ingredients....,2024-10-29 12:55:00,en
8oKVlkqHRjIpsLGgnxO5xg,tV6ihDwj5Q7bjbkTl41-UQ,Alle Fratte di Trastevere,Really good Pesto Fettuccine. We visited this restaurant a few times while staying in Rome. The service was always very friendly. The best time to visit is...,2024-07-07 16:33:56,en
fikGBQVvbO8Km1KI69VZmQ,tV6ihDwj5Q7bjbkTl41-UQ,Alle Fratte di Trastevere,Wonderful dinner. Fun street in Trastevere for people watching and the outdoor seating is excessively pleasant. The staff was lovely the food was lovely. I...,2024-04-30 12:43:04,en
6cseLuhP3GeeOvynTHP-aQ,7UsoWq0bbT2Re-BJ6AI46w,Sofia,Charming and delicious restaurant that offers a little twist on traditional Italian fare. We ate outside at a sidewalk table that was comfortable and...,2023-08-06 18:31:03,en
cDBqKwyCLSMHjD5zYyi6kw,7UsoWq0bbT2Re-BJ6AI46w,Sofia,Highly recommend!!!Wonderful cuisine with quality service!! Had a pride of ownership small family vibe,2023-10-13 12:39:07,en
